Tweets,len,ID,Date,Likes,RTs,Quoted,Q_or_RT,User_ent_text,retweeted_tweet,user_mentions,profile_location,in_reply_to_screen_name,created_at_string,tweet_type,all_text
"#NBA Wire: Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New… https://t.co/76VujZV3CX https://t.co/KbU6kwto1M",140,907100965160984577,2017-09-11 04:38:17,0,0,,,"#NBA Wire: Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New… https://t.co/76VujZV3CX https://t.co/KbU6kwto1M",,[],"{'country': 'United States', 'country_code': 'US', 'region': 'New York', 'full_name': 'New York, United States', 'geo': {'coordinates': [-75.4999, 43.00035], 'type': 'point'}}",,2017-38-11T04:38:17.000Z,tweet,"#NBA Wire: Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New… https://t.co/76VujZV3CX https://t.co/KbU6kwto1M"
"#NHL Wire: Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New… https://t.co/76VujZV3CX https://t.co/KbU6kwto1M",140,907100952821252096,2017-09-11 04:38:14,0,0,,,"#NHL Wire: Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New… https://t.co/76VujZV3CX https://t.co/KbU6kwto1M",,[],"{'country': 'United States', 'country_code': 'US', 'region': 'New York', 'full_name': 'New York, United States', 'geo': {'coordinates': [-75.4999, 43.00035], 'type': 'point'}}",,2017-38-11T04:38:14.000Z,tweet,"#NHL Wire: Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New… https://t.co/76VujZV3CX https://t.co/KbU6kwto1M"
"#NCAAB Wire: Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate… https://t.co/76VujZV3CX https://t.co/KbU6kwto1M",138,907100940309635072,2017-09-11 04:38:11,0,0,,,"#NCAAB Wire: Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate… https://t.co/76VujZV3CX https://t.co/KbU6kwto1M",,[],"{'country': 'United States', 'country_code': 'US', 'region': 'New York', 'full_name': 'New York, United States', 'geo': {'coordinates': [-75.4999, 43.00035], 'type': 'point'}}",,2017-38-11T04:38:11.000Z,tweet,"#NCAAB Wire: Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate… https://t.co/76VujZV3CX https://t.co/KbU6kwto1M"
"#MLB Wire: Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New… https://t.co/76VujZV3CX https://t.co/KbU6kwto1M",140,907100924971073537,2017-09-11 04:38:08,0,0,,,"#MLB Wire: Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New… https://t.co/76VujZV3CX https://t.co/KbU6kwto1M",,[],"{'country': 'United States', 'country_code': 'US', 'region': 'New York', 'full_name': 'New York, United States', 'geo': {'coordinates': [-75.4999, 43.00035], 'type': 'point'}}",,2017-38-11T04:38:08.000Z,tweet,"#MLB Wire: Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New… https://t.co/76VujZV3CX https://t.co/KbU6kwto1M"
"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York https://t.co/Qjo0NU5rJP",109,907100738882547712,2017-09-11 04:37:23,0,0,,,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York https://t.co/Qjo0NU5rJP",,[],,,2017-37-11T04:37:23.000Z,tweet,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York https://t.co/Qjo0NU5rJP"
#DallasCowboys #CowboysNation #AmericasTeam #NYGvsDAL #SNFonNBC  https://t.co/67FSQ4zeXb,88,907100380487716864,2017-09-11 04:35:58,0,0,,,#DallasCowboys #CowboysNation #AmericasTeam #NYGvsDAL #SNFonNBC  https://t.co/67FSQ4zeXb,,[],"{'country': 'United States', 'country_code': 'US', 'region': 'Texas', 'full_name': 'Texas, United States', 'geo': {'coordinates': [-99.25061, 31.25044], 'type': 'point'}}",,2017-35-11T04:35:58.000Z,tweet,#DallasCowboys #CowboysNation #AmericasTeam #NYGvsDAL #SNFonNBC  https://t.co/67FSQ4zeXb
"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York https://t.co/63TMd6vUrk",109,907100270919905281,2017-09-11 04:35:32,0,0,,,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York https://t.co/63TMd6vUrk",,[],"{'country': 'United States', 'country_code': 'US', 'locality': 'Miami', 'region': 'Florida', 'sub_region': 'Miami-Dade County', 'full_name': 'Miami, Florida, United States', 'geo': {'coordinates': [-80.19366, 25.77427], 'type': 'point'}}",,2017-35-11T04:35:32.000Z,tweet,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York https://t.co/63TMd6vUrk"
"SNF gives game ball to Jason Witten, Jaylon Smith, Dak Prescott #Cowboys  https://t.co/Z8y1qqDvlU https://t.co/GJHPqyiUtG",121,907100185918148609,2017-09-11 04:35:12,4,1,,,"SNF gives game ball to Jason Witten, Jaylon Smith, Dak Prescott #Cowboys  https://t.co/Z8y1qqDvlU https://t.co/GJHPqyiUtG",,[],"{'country': 'United States', 'country_code': 'US', 'locality': 'Dallas', 'region': 'Texas', 'sub_region': 'Dallas County', 'full_name': 'Dallas, Texas, United States', 'geo': {'coordinates': [-96.80667, 32.78306], 'type': 'point'}}",,2017-35-11T04:35:12.000Z,tweet,"SNF gives game ball to Jason Witten, Jaylon Smith, Dak Prescott #Cowboys  https://t.co/Z8y1qqDvlU https://t.co/GJHPqyiUtG"
"cbssports​.com &gt;&gt; Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York https://t.co/lqkmXaKbYt",133,907100050148519936,2017-09-11 04:34:39,1,0,,,"cbssports​.com &gt;&gt; Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York https://t.co/lqkmXaKbYt",,[],"{'country': 'United States', 'country_code': 'US', 'locality': 'Dallas', 'region': 'Texas', 'sub_region': 'Dallas County', 'full_name': 'Dallas, Texas, United States', 'geo': {'coordinates': [-96.80667, 32.78306], 'type': 'point'}}",,2017-34-11T04:34:39.000Z,tweet,"cbssports​.com &gt;&gt; Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York https://t.co/lqkmXaKbYt"
Dak Prescott is pretty much Nick Foles with a better o-line,59,907099760586244096,2017-09-11 04:33:30,0,0,,,Dak Prescott is pretty much Nick Foles with a better o-line,,[],"{'country': 'Canada', 'country_code': 'CA', 'locality': 'Edmonton', 'region': 'Alberta', 'full_name': 'Edmonton, Alberta, Canada', 'geo': {'coordinates': [-113.46871, 53.55014], 'type': 'point'}}",,2017-33-11T04:33:30.000Z,tweet,Dak Prescott is pretty much Nick Foles with a better o-line
